Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,3.746,6.263531685,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.767,6.320199966,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.8,6.263531685,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.819,undefined,0.120029338,-0.023624778,5.327008247,0.060512003,-0.083936006
1.76514E+12,3.833,5.866853714,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.853,6.206863403,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.873,6.036858559,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.901,6.206863403,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.919,undefined,-0.04997557,-0.267884731,5.100576401,0.050751999,-0.343551993
1.76514E+12,3.933,6.036858559,undefined,undefined,undefined,undefined,undefined
1.76514E+12,3.967,5.923521996,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.001,5.866853714,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.019,undefined,0.120029338,-0.267884731,4.991264343,0.040015999,-0.1708
1.76514E+12,4.036,5.753517151,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.073,5.753517151,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.107,5.583512306,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.119,undefined,-0.219980478,0.074079156,4.584271908,0.00976,-0.216672003
1.76514E+12,4.139,5.470175743,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.171,5.413507462,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.204,5.35683918,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.219,undefined,-0.04997557,-0.121328712,4.085536003,-0.069295995,-0.192272007
1.76514E+12,4.239,5.243502617,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.27,4.790155888,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.306,4.336809635,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.319,undefined,-0.04997557,-0.121328712,3.095872164,-0.064415999,-0.205936
1.76514E+12,4.357,4.053468227,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.377,4.280141354,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.411,3.430117369,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.419,undefined,-0.219980478,-0.316736698,2.219424009,-0.099552006,-0.131760001
1.76514E+12,4.445,3.203444004,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.478,2.750097752,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.509,2.863434315,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.519,undefined,-0.106643848,-0.512144566,1.34395206,-0.080031998,-0.165920004
1.76514E+12,4.564,2.126746178,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.594,1.560063481,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.614,1.446726918,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.619,undefined,-0.163312137,-0.316736698,0.502640009,-0.092720002,-0.217648
1.76514E+12,4.634,0.993380547,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.655,1.10671711,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.683,0.880043983,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.716,0.540034175,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.719,undefined,-0.106643848,0.562598825,-0.265472025,-0.078079998,-0.173728004
1.76514E+12,4.761,0.200024426,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.783,-0.139985323,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.803,-0.026648758,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.819,undefined,-0.389985323,-0.121328712,-0.790560007,-0.064415999,-0.238143995
1.76514E+12,4.823,-0.309990227,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.867,-0.706668258,undefined,undefined,undefined,undefined,undefined
1.76514E+12,4.887,-0.990009725,undefined,undefined,undefined,undefined,undefined
