Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,100376,100.376,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100381,100.381,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100383,100.38300000000001,undefined,undefined,undefined,undefined,-0.997471988,-0.791536033,0.770063996,46.40999985,-39.20000076,-93.73000336
1.76514E+12,100385,100.385,940.3977051,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100386,100.386,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100391,100.39099999999999,undefined,undefined,undefined,undefined,-0.997471988,-0.791536033,0.770063996,46.40999985,-39.20000076,-93.73000336
1.76514E+12,100396,100.396,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100401,100.401,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100406,100.40599999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100409,100.409,undefined,901.2780151,-117.8119965,35.34516525,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100410,100.41,undefined,undefined,undefined,undefined,-0.559247971,-0.453839988,1.140944004,56.41999817,-23.52000046,-81.26999664
1.76514E+12,100411,100.411,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100416,100.416,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100418,100.41799999999999,undefined,undefined,undefined,undefined,-0.54363203,-0.42456001,0.20984,23.30999947,-58.31000137,-97.08999634
1.76514E+12,100421,100.421,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100426,100.426,undefined,undefined,undefined,undefined,-0.721264064,-0.431391984,1.314671993,-16.45000076,-39.13000107,-85.81999969
1.76514E+12,100431,100.431,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100436,100.436,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
