time,lat,long,GPS MSL,SVs
661.764,35.346697,-117.81196,2494.0601,27
661.973,35.346694,-117.81201,2520.0422,27
662.163,35.34669,-117.81206,2545.4641,27
662.418,35.346687,-117.81211,2570.3491,27
662.581,35.346683,-117.81217,2594.6992,27
662.746,35.34668,-117.81222,2618.519,27
662.956,35.346676,-117.81227,2641.8142,27
663.149,35.346672,-117.81232,2664.5942,27
663.388,35.346668,-117.81237,2686.8591,27
663.555,35.346664,-117.81241,2708.614,27
663.738,35.346661,-117.81246,2729.8611,27
663.937,35.346657,-117.81251,2750.6182,27
664.135,35.346653,-117.81256,2770.885,27
664.385,35.346649,-117.81261,2790.6711,27
664.545,35.346645,-117.81266,2809.9651,27
664.718,35.346641,-117.8127,2828.78,27
664.919,35.346637,-117.81275,2847.1282,27
665.114,35.346633,-117.8128,2865.0061,27
665.352,35.346629,-117.81284,2882.4182,27
665.516,35.346625,-117.81289,2899.3672,27
665.704,35.346621,-117.81293,2915.8572,27
665.905,35.346617,-117.81298,2931.8911,27
666.095,35.346612,-117.81303,2947.4712,27
666.348,35.346608,-117.81307,2962.6021,27
666.514,35.346604,-117.81311,2977.2913,27
666.689,35.346599,-117.81316,2991.5452,27
666.883,35.346595,-117.8132,3005.3572,27
667.075,35.34659,-117.81325,3018.7332,27
667.321,35.346586,-117.81329,3031.6772,27
667.488,35.346581,-117.81334,3044.1902,27
667.676,35.346576,-117.81338,3056.2671,27
667.875,35.346572,-117.81342,3067.9241,27
668.058,35.346567,-117.81346,3079.1611,27
668.316,35.346562,-117.81351,3089.9641,27
668.484,35.346557,-117.81355,3100.3521,27
668.658,35.346552,-117.81359,3110.3152,27
668.853,35.346548,-117.81364,3119.8682,27
669.044,35.346543,-117.81368,3129.0161,27
669.29,35.346538,-117.81372,3137.7451,27
669.452,35.346533,-117.81376,3146.0662,27
669.645,35.346528,-117.8138,3153.9731,27
669.845,35.346523,-117.81385,3161.4702,27
670.031,35.346518,-117.81389,3168.5642,27
670.289,35.346513,-117.81393,3175.259,27
670.457,35.346508,-117.81397,3181.5532,27
670.636,35.346503,-117.81401,3187.4431,27
